"AreaUnit","Total_Crashes","Total_Crime","Commonest_Crime","Closest_Medical_Hospital","Distance_Medical_Hospital","Closest_Childrens_Health_Hospital","Distance_Childrens_Health_Hospital","Closest_Dementia_Care_Hospital","Distance_Dementia_Care_Hospital","Closest_Geriatric_Hospital","Distance_Geriatric_Hospital","Closest_Maternity_Hospital","Distance_Maternity_Hospital","Closest_Mental_Health_Hospital","Distance_Mental_Health_Hospital","Closest_Psychogeriatric_Hospital","Distance_Psychogeriatric_Hospital","Closest_Surgical_Hospital","Distance_Surgical_Hospital","Average_decile","Primary","Secondary","Composite","Other"
"Orari",266,19,"Theft and Related Offences","Hospice South Canterbury",28168.0589317985,"Timaru Hospital",30391.4199437592,"Tuarangi Home",46599.9342117089,"Tuarangi Home",46599.9342117089,"Timaru Hospital",30391.4199437592,"Timaru Hospital",30391.4199437592,"Burwood Hospital",134983.697748205,"Bidwill Trust Hospital",28921.5244878791,7,3,0,0,0
"Otematata",4,2,"Unlawful Entry With Intent/Burglary, Break and Enter","Hospice South Canterbury",83864.0448196216,"Timaru Hospital",86280.8539355406,"Tuarangi Home",145838.793569832,"Tuarangi Home",145838.793569832,"Timaru Hospital",86280.8539355406,"Timaru Hospital",86280.8539355406,"Burwood Hospital",234223.110877268,"Bidwill Trust Hospital",85616.3049043844,NA,0,NA,NA,NA
"Otipua Creek-Washdyke Flat",32,5,"Unlawful Entry With Intent/Burglary, Break and Enter","Hospice South Canterbury",2188.12940869966,"Timaru Hospital",6087.71153030684,"Tuarangi Home",67399.3092799017,"Tuarangi Home",67399.3092799017,"Timaru Hospital",6087.71153030684,"Timaru Hospital",6087.71153030684,"Burwood Hospital",153943.233494684,"Bidwill Trust Hospital",4217.32274888756,NA,0,NA,NA,NA
"Oxford",22,13,"Theft and Related Offences","Oxford Hospital",824.790211431774,"Christchurch Hospital",44273.848573881,"Tuarangi Home",75927.8048192381,"Oxford Hospital",824.790211431774,"Rangiora Hospital",33119.8493663318,"Hillmorton Hospital",43718.2138360075,"Burwood Hospital",45284.9625522874,"St George's Hospital",42362.2713486474,7,0,0,1,0
"Papanui",93,192,"Theft and Related Offences","Nurse Maude Hospice",1961.91610110183,"Christchurch Hospital",4371.48271730553,"Tuarangi Home",82413.8599520321,"Burwood Hospital",6287.09150933017,"St George's Hospital",1717.14467756779,"Hillmorton Hospital",6330.98161225258,"Burwood Hospital",6287.09150933017,"St George's Hospital",1717.14467756779,7.5,1,0,1,0
"Paparua",48,167,"Theft and Related Offences","Nurse Maude Hospice",12712.0272907752,"Christchurch Hospital",12727.6764494652,"Tuarangi Home",70863.5650416017,"Burwood Hospital",18304.1605144504,"Lincoln Maternity Hospital",11647.8625618828,"Hillmorton Hospital",10638.4341720991,"Burwood Hospital",18304.1605144504,"St George's Hospital",12509.2934458664,NA,0,NA,NA,NA
"Pareora",4,9,"Unlawful Entry With Intent/Burglary, Break and Enter","Timaru Hospital",9220.53510487845,"Timaru Hospital",9220.53510487845,"Tuarangi Home",77391.8537645684,"Tuarangi Home",77391.8537645684,"Timaru Hospital",9220.53510487845,"Timaru Hospital",9220.53510487845,"Burwood Hospital",162014.425895731,"Timaru Hospital",9220.53510487845,NA,0,NA,NA,NA
"Parklands",41,46,"Theft and Related Offences","Burwood Hospital",1260.42162440379,"Christchurch Hospital",8464.55049850644,"Tuarangi Home",89551.2083591425,"Burwood Hospital",1260.42162440379,"St George's Hospital",7223.51065192615,"Hillmorton Hospital",11607.1461652776,"Burwood Hospital",1260.42162440379,"Burwood Hospital",1260.42162440379,8,1,0,0,0
"Parkside",87,138,"Theft and Related Offences","Timaru Hospital",695.598941807894,"Timaru Hospital",695.598941807894,"Tuarangi Home",68360.4459066705,"Tuarangi Home",68360.4459066705,"Timaru Hospital",695.598941807894,"Timaru Hospital",695.598941807894,"Burwood Hospital",153837.864630731,"Timaru Hospital",695.598941807894,6,1,2,0,0
"Parnassus",123,6,"Acts Intended to Cause Injury","Kaikoura Hospital",47524.1305490514,"Christchurch Hospital",105174.305433015,"Tuarangi Home",181170.80547967,"Kaikoura Hospital",47524.1305490514,"Kaikoura Hospital",47524.1305490514,"Hillmorton Hospital",108189.018573339,"Burwood Hospital",97767.8078933836,"Burwood Hospital",97767.8078933836,NA,0,NA,NA,NA
"Pegasus",25,13,"Theft and Related Offences","Rangiora Hospital",7488.5198773663,"Christchurch Hospital",25206.6773130149,"Tuarangi Home",99706.5987024585,"Burwood Hospital",19012.9866967624,"Rangiora Hospital",7488.5198773663,"Hillmorton Hospital",27748.8236789287,"Burwood Hospital",19012.9866967624,"Burwood Hospital",19012.9866967624,10,1,0,0,0
"Phillipstown",174,145,"Theft and Related Offences","Southern Cross Hospital Christchurch",2818.59990749239,"Christchurch Hospital",2914.670367806,"Tuarangi Home",83647.0163453301,"Burwood Hospital",6416.35701033125,"Christchurch Hospital",2914.670367806,"The Princess Margaret Hospital",5056.80854264899,"Burwood Hospital",6416.35701033125,"Forte Health Hospital",2258.08324285799,NA,0,NA,NA,NA
"Pines-Kairaki Beach",7,4,"Acts Intended to Cause Injury","Burwood Hospital",11016.9816803056,"Christchurch Hospital",17866.5536096731,"Tuarangi Home",95996.4296156034,"Burwood Hospital",11016.9816803056,"Rangiora Hospital",13851.6788386274,"Hillmorton Hospital",20709.7636982471,"Burwood Hospital",11016.9816803056,"Burwood Hospital",11016.9816803056,NA,0,NA,NA,NA
"Plains Railway",23,5,"Acts Intended to Cause Injury","Tuarangi Home",4169.3040241013,"Timaru Hospital",64695.7954102285,"Tuarangi Home",4169.3040241013,"Tuarangi Home",4169.3040241013,"Ashburton Hospital",4498.66977566472,"Timaru Hospital",64695.7954102285,"Burwood Hospital",92554.0328696096,"Bidwill Trust Hospital",64087.2636495995,NA,0,NA,NA,NA
"Pleasant Point",12,14,"Theft and Related Offences","Hospice South Canterbury",15463.5934885977,"Timaru Hospital",19199.4829049566,"Tuarangi Home",63353.2623437544,"Tuarangi Home",63353.2623437544,"Timaru Hospital",19199.4829049566,"Timaru Hospital",19199.4829049566,"Burwood Hospital",151490.811999954,"Bidwill Trust Hospital",17323.1756420252,8.5,2,0,0,0
"Port Levy",5,NA,NA,"Christchurch Hospital",20027.7645411303,"Christchurch Hospital",20027.7645411303,"Tuarangi Home",88395.9318748544,"Burwood Hospital",22071.0147052847,"Christchurch Hospital",20027.7645411303,"The Princess Margaret Hospital",17700.5511814872,"Burwood Hospital",22071.0147052847,"Forte Health Hospital",19991.7298189401,NA,0,NA,NA,NA
"Prebbleton",20,12,"Unlawful Entry With Intent/Burglary, Break and Enter","Christchurch Hospital",10795.9835872962,"Christchurch Hospital",10795.9835872962,"Tuarangi Home",70528.4070545551,"Burwood Hospital",18008.9721012396,"Lincoln Maternity Hospital",5936.45642998353,"Hillmorton Hospital",7726.54944992107,"Burwood Hospital",18008.9721012396,"Christchurch Hospital",10795.9835872962,10,1,0,0,0
"Prestons",97,147,"Theft and Related Offences","Burwood Hospital",1787.87339692504,"Christchurch Hospital",6948.35782937409,"Tuarangi Home",87199.0740586193,"Burwood Hospital",1787.87339692504,"St George's Hospital",4969.39961849487,"Hillmorton Hospital",9924.82351511674,"Burwood Hospital",1787.87339692504,"Burwood Hospital",1787.87339692504,9,1,0,0,0
"Rakaia",35,17,"Theft and Related Offences","Ellesmere Hospital",22462.8558446293,"Christchurch Hospital",54351.4978637444,"Tuarangi Home",27311.6712906493,"Ellesmere Hospital",22462.8558446293,"Ashburton Hospital",27021.8885139263,"Hillmorton Hospital",51310.4640006361,"Burwood Hospital",61276.0157093428,"Christchurch Hospital",54351.4978637444,6,1,0,0,0
"Rangiora Central",39,24,"Theft and Related Offences","Rangiora Hospital",2407.9020590208,"Christchurch Hospital",24943.5482464352,"Tuarangi Home",94560.304724527,"Burwood Hospital",20373.6238499343,"Rangiora Hospital",2407.9020590208,"Hillmorton Hospital",26899.0945151073,"Burwood Hospital",20373.6238499343,"Burwood Hospital",20373.6238499343,7,1,0,0,0
"Rangiora East",40,177,"Theft and Related Offences","Rangiora Hospital",2179.38693348104,"Christchurch Hospital",25183.4968106821,"Tuarangi Home",95095.004864638,"Burwood Hospital",20478.3627109274,"Rangiora Hospital",2179.38693348104,"Hillmorton Hospital",27184.4082839016,"Burwood Hospital",20478.3627109274,"Burwood Hospital",20478.3627109274,9,1,0,0,0
"Rangiora North",44,52,"Theft and Related Offences","Rangiora Hospital",1448.79025391921,"Christchurch Hospital",25933.0805458388,"Tuarangi Home",95092.1012196025,"Burwood Hospital",21359.5084825094,"Rangiora Hospital",1448.79025391921,"Hillmorton Hospital",27873.6312795102,"Burwood Hospital",21359.5084825094,"Burwood Hospital",21359.5084825094,9,1,1,0,0
"Rangiora West",17,10,"Theft and Related Offences","Rangiora Hospital",2259.99005698435,"Christchurch Hospital",25261.3053765655,"Tuarangi Home",94256.2469285188,"Burwood Hospital",20846.3233627762,"Rangiora Hospital",2259.99005698435,"Hillmorton Hospital",27154.6134873386,"Burwood Hospital",20846.3233627762,"Burwood Hospital",20846.3233627762,NA,0,NA,NA,NA
"Rapaki Track",34,49,"Theft and Related Offences","Christchurch Hospital",5770.31363915433,"Christchurch Hospital",5770.31363915433,"Tuarangi Home",83167.0875268642,"Burwood Hospital",9702.58189218761,"Christchurch Hospital",5770.31363915433,"The Princess Margaret Hospital",4702.14046054915,"Burwood Hospital",9702.58189218761,"Christchurch Hospital",5770.31363915433,NA,0,NA,NA,NA
"Ravenswood",10,10,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",6985.31404692233,"Christchurch Hospital",25279.1135274128,"Tuarangi Home",99454.0133316776,"Burwood Hospital",19180.2725757052,"Rangiora Hospital",6985.31404692233,"Hillmorton Hospital",27785.7568714366,"Burwood Hospital",19180.2725757052,"Burwood Hospital",19180.2725757052,NA,0,NA,NA,NA
"Rawhiti",82,224,"Acts Intended to Cause Injury","Burwood Hospital",3458.69892710208,"Christchurch Hospital",8196.03957002913,"Tuarangi Home",89492.1285226697,"Burwood Hospital",3458.69892710208,"St George's Hospital",7876.74318609675,"The Princess Margaret Hospital",10991.2781136364,"Burwood Hospital",3458.69892710208,"Burwood Hospital",3458.69892710208,6,1,0,0,0
"Redruth",4,21,"Theft and Related Offences","Timaru Hospital",1280.11766700825,"Timaru Hospital",1280.11766700825,"Tuarangi Home",69681.9788951031,"Tuarangi Home",69681.9788951031,"Timaru Hospital",1280.11766700825,"Timaru Hospital",1280.11766700825,"Burwood Hospital",155003.666063036,"Timaru Hospital",1280.11766700825,NA,0,NA,NA,NA
"Redwood North",54,45,"Theft and Related Offences","Nurse Maude Hospice",4148.94605143265,"Christchurch Hospital",6708.09421087887,"Tuarangi Home",84689.1140491805,"Burwood Hospital",5130.26891903693,"St George's Hospital",4009.56956789153,"Hillmorton Hospital",9021.63325338493,"Burwood Hospital",5130.26891903693,"St George's Hospital",4009.56956789153,8,1,0,0,0
"Redwood South",82,65,"Theft and Related Offences","Nurse Maude Hospice",2859.95878233244,"Christchurch Hospital",5421.50451543992,"Tuarangi Home",83903.6647751773,"Burwood Hospital",5129.42188230925,"St George's Hospital",2715.57929107635,"Hillmorton Hospital",7750.89417763423,"Burwood Hospital",5129.42188230925,"St George's Hospital",2715.57929107635,7.5,1,1,0,0
"Riccarton",173,454,"Theft and Related Offences","Christchurch Hospital",1887.97202003218,"Christchurch Hospital",1887.97202003218,"Tuarangi Home",79754.5579761637,"Burwood Hospital",8739.09317039753,"Christchurch Hospital",1887.97202003218,"Hillmorton Hospital",2223.05808774184,"Burwood Hospital",8739.09317039753,"Christchurch Hospital",1887.97202003218,3,1,0,0,0
"Riccarton South",151,74,"Theft and Related Offences","Christchurch Hospital",1528.46407327142,"Christchurch Hospital",1528.46407327142,"Tuarangi Home",79798.9040907056,"Burwood Hospital",8902.09864450978,"Christchurch Hospital",1528.46407327142,"Hillmorton Hospital",1708.31190932283,"Burwood Hospital",8902.09864450978,"Christchurch Hospital",1528.46407327142,NA,0,NA,NA,NA
"Riccarton West",70,57,"Theft and Related Offences","Christchurch Hospital",2624.94063584515,"Christchurch Hospital",2624.94063584515,"Tuarangi Home",79095.3000679512,"Burwood Hospital",9346.72508383939,"Christchurch Hospital",2624.94063584515,"Hillmorton Hospital",2132.35487166885,"Burwood Hospital",9346.72508383939,"Christchurch Hospital",2624.94063584515,NA,0,NA,NA,NA
"Richmond North",70,57,"Theft and Related Offences","Southern Cross Hospital Christchurch",2028.33533494876,"Christchurch Hospital",3505.38559670159,"Tuarangi Home",84760.9220414478,"Burwood Hospital",4043.43925709029,"St George's Hospital",3054.86562354974,"Hillmorton Hospital",6652.13156382722,"Burwood Hospital",4043.43925709029,"Southern Cross Hospital Christchurch",2028.33533494876,4,0,0,0,1
"Richmond South",60,204,"Theft and Related Offences","Southern Cross Hospital Christchurch",1641.9579160108,"Christchurch Hospital",2850.20144327361,"Tuarangi Home",84173.184813118,"Burwood Hospital",4852.62523371697,"Christchurch Hospital",2850.20144327361,"Hillmorton Hospital",5978.90568828837,"Burwood Hospital",4852.62523371697,"Forte Health Hospital",1525.50279286873,99,1,0,0,0
"Rolleston Central",32,22,"Unlawful Entry With Intent/Burglary, Break and Enter","Ellesmere Hospital",18959.2876595443,"Christchurch Hospital",20961.8655475698,"Tuarangi Home",60926.5288908846,"Ellesmere Hospital",18959.2876595443,"Lincoln Maternity Hospital",9823.90352213844,"Hillmorton Hospital",18089.1092062713,"Burwood Hospital",27619.3128862555,"Christchurch Hospital",20961.8655475698,NA,0,NA,NA,NA
"Rolleston North East",58,183,"Theft and Related Offences","Ellesmere Hospital",19685.9134685002,"Christchurch Hospital",20339.5794764652,"Tuarangi Home",61645.59550221,"Ellesmere Hospital",19685.9134685002,"Lincoln Maternity Hospital",9716.57715025135,"Hillmorton Hospital",17498.3010855377,"Burwood Hospital",26940.1466787277,"Christchurch Hospital",20339.5794764652,10,1,0,0,0
"Rolleston North West",25,6,"Acts Intended to Cause Injury","Ellesmere Hospital",18294.2181652829,"Christchurch Hospital",22273.6547383068,"Tuarangi Home",59702.1512216875,"Ellesmere Hospital",18294.2181652829,"Lincoln Maternity Hospital",10879.6814392342,"Hillmorton Hospital",19407.0217044605,"Burwood Hospital",28899.282078595,"Christchurch Hospital",22273.6547383068,NA,0,NA,NA,NA
"Rolleston South East",43,35,"Theft and Related Offences","Ellesmere Hospital",18082.0821200413,"Christchurch Hospital",20131.830997297,"Tuarangi Home",61331.7981716204,"Ellesmere Hospital",18082.0821200413,"Lincoln Maternity Hospital",7799.12320958999,"Hillmorton Hospital",17140.167343777,"Burwood Hospital",27061.7945731808,"Christchurch Hospital",20131.830997297,8.8,3,1,0,1
"Rolleston South West",13,7,"Theft and Related Offences","Ellesmere Hospital",17586.8960324475,"Christchurch Hospital",21901.8319636408,"Tuarangi Home",59775.3275898868,"Ellesmere Hospital",17586.8960324475,"Lincoln Maternity Hospital",9836.50484626597,"Hillmorton Hospital",18966.4033056044,"Burwood Hospital",28684.7252422886,"Christchurch Hospital",21901.8319636408,10,1,0,0,0
"Russley",71,44,"Theft and Related Offences","Nurse Maude Hospice",5230.98879708659,"Christchurch Hospital",6691.829721864,"Tuarangi Home",79322.7830053083,"Burwood Hospital",10010.6045624099,"St George's Hospital",4965.50210542441,"Hillmorton Hospital",6940.72194875988,"Burwood Hospital",10010.6045624099,"St George's Hospital",4965.50210542441,10,1,0,0,0
"Rutland",103,42,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",848.770062006402,"Christchurch Hospital",3259.01549418249,"Tuarangi Home",83262.3201524413,"Burwood Hospital",5135.42100666536,"St George's Hospital",908.978251838342,"Hillmorton Hospital",5946.83703983246,"Burwood Hospital",5135.42100666536,"St George's Hospital",908.978251838342,9,1,0,0,0
"Sawyers Arms",107,67,"Theft and Related Offences","Nurse Maude Hospice",5400.76090023713,"Christchurch Hospital",7771.46281323427,"Tuarangi Home",82709.2788789066,"Burwood Hospital",7910.85456646609,"St George's Hospital",5160.32733207132,"Hillmorton Hospital",9257.64177289193,"Burwood Hospital",7910.85456646609,"St George's Hospital",5160.32733207132,8,0,0,1,0
"Seaview",171,195,"Theft and Related Offences","Timaru Hospital",1574.787408599,"Timaru Hospital",1574.787408599,"Tuarangi Home",67718.1210509965,"Tuarangi Home",67718.1210509965,"Timaru Hospital",1574.787408599,"Timaru Hospital",1574.787408599,"Burwood Hospital",153366.843326332,"Bidwill Trust Hospital",404.301958263143,NA,0,NA,NA,NA
"Sefton",45,11,"Acts Intended to Cause Injury","Rangiora Hospital",8612.16698041163,"Christchurch Hospital",31170.5147848537,"Tuarangi Home",104303.157977401,"Burwood Hospital",24935.6802246362,"Rangiora Hospital",8612.16698041163,"Hillmorton Hospital",33683.8549318955,"Burwood Hospital",24935.6802246362,"Burwood Hospital",24935.6802246362,7,1,0,0,0
"Selwyn-Rakaia",187,23,"Theft and Related Offences","Ellesmere Hospital",9702.66712475739,"Christchurch Hospital",40396.4142379952,"Tuarangi Home",40927.9914028255,"Ellesmere Hospital",9702.66712475739,"Lincoln Maternity Hospital",25559.1443159849,"Hillmorton Hospital",37309.2153658402,"Burwood Hospital",47496.7227965311,"Christchurch Hospital",40396.4142379952,NA,0,NA,NA,NA
"Shirley East",93,534,"Theft and Related Offences","Burwood Hospital",2758.44243901507,"Christchurch Hospital",4721.44523572312,"Tuarangi Home",85766.4132455321,"Burwood Hospital",2758.44243901507,"St George's Hospital",3549.17867791812,"Hillmorton Hospital",7841.93367713873,"Burwood Hospital",2758.44243901507,"Burwood Hospital",2758.44243901507,NA,0,NA,NA,NA
"Shirley West",102,105,"Unlawful Entry With Intent/Burglary, Break and Enter","Nurse Maude Hospice",2525.37010957682,"Christchurch Hospital",4279.87305992024,"Tuarangi Home",84999.8265837102,"Burwood Hospital",3398.67398677305,"St George's Hospital",2669.83400094189,"Hillmorton Hospital",7307.55011479692,"Burwood Hospital",3398.67398677305,"Southern Cross Hospital Christchurch",2610.36824995125,4.5,2,0,0,0
"Silverstream",13,8,"Theft and Related Offences","Rangiora Hospital",10669.0228865011,"Christchurch Hospital",17237.1798599611,"Tuarangi Home",92162.5522144142,"Burwood Hospital",11981.4492415825,"Rangiora Hospital",10669.0228865011,"Hillmorton Hospital",19594.5466478354,"Burwood Hospital",11981.4492415825,"Burwood Hospital",11981.4492415825,NA,0,NA,NA,NA
"Sockburn",247,235,"Theft and Related Offences","Christchurch Hospital",5100.44987609571,"Christchurch Hospital",5100.44987609571,"Tuarangi Home",76938.7928707452,"Burwood Hospital",11457.522313045,"Christchurch Hospital",5100.44987609571,"Hillmorton Hospital",3394.80687361801,"Burwood Hospital",11457.522313045,"Christchurch Hospital",5100.44987609571,5.75,2,2,0,0
"Somerfield",49,32,"Theft and Related Offences","Christchurch Hospital",2612.28742246161,"Christchurch Hospital",2612.28742246161,"Tuarangi Home",80434.1015333822,"Burwood Hospital",9395.67898976914,"Christchurch Hospital",2612.28742246161,"The Princess Margaret Hospital",1819.40640235422,"Burwood Hospital",9395.67898976914,"Christchurch Hospital",2612.28742246161,8,1,0,0,0
"South Brighton",19,31,"Theft and Related Offences","Burwood Hospital",7062.2144518584,"Christchurch Hospital",9065.64386682441,"Tuarangi Home",89330.7127662061,"Burwood Hospital",7062.2144518584,"Christchurch Hospital",9065.64386682441,"The Princess Margaret Hospital",10460.9293421355,"Burwood Hospital",7062.2144518584,"Burwood Hospital",7062.2144518584,6,1,0,0,0
"Southbridge",4,2,"Theft and Related Offences","Ellesmere Hospital",7059.61588006433,"Christchurch Hospital",42826.4390817631,"Tuarangi Home",41524.0477371203,"Ellesmere Hospital",7059.61588006433,"Lincoln Maternity Hospital",27144.2405333418,"The Princess Margaret Hospital",39616.1401830054,"Burwood Hospital",50283.584153444,"Christchurch Hospital",42826.4390817631,8,1,0,0,0
"Southbrook",72,81,"Acts Intended to Cause Injury","Rangiora Hospital",4153.72397390744,"Christchurch Hospital",23190.69899467,"Tuarangi Home",93729.3514128324,"Burwood Hospital",18595.0115218111,"Rangiora Hospital",4153.72397390744,"Hillmorton Hospital",25187.5772164906,"Burwood Hospital",18595.0115218111,"Burwood Hospital",18595.0115218111,8,1,0,1,0
"Spreydon",98,202,"Theft and Related Offences","Christchurch Hospital",1994.93211850577,"Christchurch Hospital",1994.93211850577,"Tuarangi Home",79958.0099103301,"Burwood Hospital",9310.11562976275,"Christchurch Hospital",1994.93211850577,"Hillmorton Hospital",1912.70703107098,"Burwood Hospital",9310.11562976275,"Christchurch Hospital",1994.93211850577,5.5,1,0,0,1
"Springston",161,22,"Theft and Related Offences","Ellesmere Hospital",14976.8899266691,"Christchurch Hospital",21343.3601162062,"Tuarangi Home",60133.8383062807,"Ellesmere Hospital",14976.8899266691,"Lincoln Maternity Hospital",6350.52457433458,"Hillmorton Hospital",18209.8210251159,"Burwood Hospital",28656.3588775,"Christchurch Hospital",21343.3601162062,10,2,0,0,0
"St Albans East",157,109,"Theft and Related Offences","Southern Cross Hospital Christchurch",602.106048511151,"Christchurch Hospital",2270.39754247159,"Tuarangi Home",83279.293037623,"Burwood Hospital",5268.823748693,"St George's Hospital",1673.25457805781,"Hillmorton Hospital",5335.63003645609,"Burwood Hospital",5268.823748693,"Southern Cross Hospital Christchurch",602.106048511151,8,1,0,0,0
"St Albans West",37,34,"Unlawful Entry With Intent/Burglary, Break and Enter","Southern Cross Hospital Christchurch",541.243034625801,"Christchurch Hospital",1910.20405602284,"Tuarangi Home",82620.6127170768,"Burwood Hospital",5857.94320579844,"St George's Hospital",1166.00294139034,"Hillmorton Hospital",4812.0407420277,"Burwood Hospital",5857.94320579844,"Southern Cross Hospital Christchurch",541.243034625801,NA,0,NA,NA,NA
"St Andrews",2,1,"Theft and Related Offences","Timaru Hospital",14728.9091407454,"Timaru Hospital",14728.9091407454,"Tuarangi Home",82776.3096442998,"Tuarangi Home",82776.3096442998,"Timaru Hospital",14728.9091407454,"Timaru Hospital",14728.9091407454,"Burwood Hospital",166995.136447899,"Timaru Hospital",14728.9091407454,4,1,0,0,0
"St Martins",54,58,"Theft and Related Offences","Christchurch Hospital",3617.1105202727,"Christchurch Hospital",3617.1105202727,"Tuarangi Home",81824.1889578444,"Burwood Hospital",9025.29259336095,"Christchurch Hospital",3617.1105202727,"The Princess Margaret Hospital",2938.01935981375,"Burwood Hospital",9025.29259336095,"Christchurch Hospital",3617.1105202727,8,1,0,1,0
"Strowan",103,49,"Theft and Related Offences","Nurse Maude Hospice",1009.70231004917,"Christchurch Hospital",3117.62554141273,"Tuarangi Home",81859.2456611544,"Burwood Hospital",6574.55412704151,"St George's Hospital",745.390125418983,"Hillmorton Hospital",5118.27076869627,"Burwood Hospital",6574.55412704151,"St George's Hospital",745.390125418983,9.5,2,0,1,1
"Styx",148,56,"Theft and Related Offences","Burwood Hospital",5799.58168493404,"Christchurch Hospital",11450.4975811011,"Tuarangi Home",89610.0976596239,"Burwood Hospital",5799.58168493404,"St George's Hospital",8984.44403468656,"Hillmorton Hospital",14128.8486929001,"Burwood Hospital",5799.58168493404,"Burwood Hospital",5799.58168493404,8,1,0,0,0
"Styx Mill",41,54,"Theft and Related Offences","Nurse Maude Hospice",4178.02272422187,"Christchurch Hospital",6737.54226942784,"Tuarangi Home",84286.4269283722,"Burwood Hospital",5604.95817766214,"St George's Hospital",4012.07611776018,"Hillmorton Hospital",8914.28512001205,"Burwood Hospital",5604.95817766214,"St George's Hospital",4012.07611776018,3,1,0,0,0
"Sumner",28,48,"Theft and Related Offences","Christchurch Hospital",11980.0349362558,"Christchurch Hospital",11980.0349362558,"Tuarangi Home",88704.9264007082,"Burwood Hospital",12395.2255144,"Christchurch Hospital",11980.0349362558,"The Princess Margaret Hospital",11376.0374406841,"Burwood Hospital",12395.2255144,"Forte Health Hospital",11494.7029526609,7.66666666666667,2,0,0,1
"Sydenham",390,416,"Theft and Related Offences","Christchurch Hospital",1705.74677711594,"Christchurch Hospital",1705.74677711594,"Tuarangi Home",81511.4716144084,"Burwood Hospital",8070.90031876632,"Christchurch Hospital",1705.74677711594,"The Princess Margaret Hospital",3142.90838831313,"Burwood Hospital",8070.90031876632,"Christchurch Hospital",1705.74677711594,NA,0,NA,NA,NA
"Taitapu",14,3,"Theft and Related Offences","Christchurch Hospital",15710.3800422455,"Christchurch Hospital",15710.3800422455,"Tuarangi Home",69342.0303433228,"Ellesmere Hospital",22416.9362981262,"Lincoln Maternity Hospital",5897.42666469077,"The Princess Margaret Hospital",11764.557505507,"Burwood Hospital",22977.5076193036,"Christchurch Hospital",15710.3800422455,10,1,0,0,0
"Templeton",30,9,"Theft and Related Offences","Christchurch Hospital",12359.0970650067,"Christchurch Hospital",12359.0970650067,"Tuarangi Home",69897.7622404891,"Burwood Hospital",18681.151149555,"Lincoln Maternity Hospital",9136.23352789463,"Hillmorton Hospital",9812.93469861522,"Burwood Hospital",18681.151149555,"Christchurch Hospital",12359.0970650067,8,1,0,0,0
"Temuka",46,47,"Theft and Related Offences","Hospice South Canterbury",16874.2017414681,"Timaru Hospital",18654.4926574754,"Tuarangi Home",53027.4602406687,"Tuarangi Home",53027.4602406687,"Timaru Hospital",18654.4926574754,"Timaru Hospital",18654.4926574754,"Burwood Hospital",140587.273257605,"Bidwill Trust Hospital",17305.8680168226,5.33333333333333,2,1,0,0
"Timaru Gardens",46,30,"Unlawful Entry With Intent/Burglary, Break and Enter","Timaru Hospital",663.551660210766,"Timaru Hospital",663.551660210766,"Tuarangi Home",69054.4412718437,"Tuarangi Home",69054.4412718437,"Timaru Hospital",663.551660210766,"Timaru Hospital",663.551660210766,"Burwood Hospital",154395.703131886,"Timaru Hospital",663.551660210766,2,1,0,0,0
"Tinwald",62,26,"Unlawful Entry With Intent/Burglary, Break and Enter","Tuarangi Home",2801.53031564055,"Timaru Hospital",65866.1801598054,"Tuarangi Home",2801.53031564055,"Tuarangi Home",2801.53031564055,"Ashburton Hospital",3268.18890627612,"Timaru Hospital",65866.1801598054,"Burwood Hospital",91192.2025860644,"Bidwill Trust Hospital",65276.9290143514,6,1,0,0,0
"Travis",38,34,"Theft and Related Offences","Burwood Hospital",1893.16180339025,"Christchurch Hospital",6732.5572450435,"Tuarangi Home",88024.2186615951,"Burwood Hospital",1893.16180339025,"St George's Hospital",5997.57819788116,"Hillmorton Hospital",9871.6544331099,"Burwood Hospital",1893.16180339025,"Burwood Hospital",1893.16180339025,NA,0,NA,NA,NA
"Travis Wetland",71,76,"Theft and Related Offences","Burwood Hospital",586.852798522637,"Christchurch Hospital",7335.49782494028,"Tuarangi Home",88412.946341547,"Burwood Hospital",586.852798522637,"St George's Hospital",6100.73396563063,"Hillmorton Hospital",10474.7485193,"Burwood Hospital",586.852798522637,"Burwood Hospital",586.852798522637,8,1,0,0,0
"Trents-Ladbrooks",142,10,"Theft and Related Offences","Christchurch Hospital",11282.9240406275,"Christchurch Hospital",11282.9240406275,"Tuarangi Home",70079.4747219948,"Burwood Hospital",18358.7578438805,"Lincoln Maternity Hospital",6261.72471287447,"Hillmorton Hospital",8286.14115256531,"Burwood Hospital",18358.7578438805,"Christchurch Hospital",11282.9240406275,10,1,0,0,0
"Tuahiwi",102,12,"Unlawful Entry With Intent/Burglary, Break and Enter","Rangiora Hospital",7284.92573244955,"Christchurch Hospital",20985.9118681576,"Tuarangi Home",94634.6191458326,"Burwood Hospital",15587.2294282881,"Rangiora Hospital",7284.92573244955,"Hillmorton Hospital",23304.6936048047,"Burwood Hospital",15587.2294282881,"Burwood Hospital",15587.2294282881,6,1,0,0,0
