HourOfDay,DayOfWeek,CrimeType,AreaUnit,Victimisations,Year,Month
20,Mon,Theft and Related Offences,Mona Vale,1,2021,5
10,Sat,Theft and Related Offences,Wigram,1,2021,2
8,Fri,Theft and Related Offences,Riccarton West,1,2021,1
8,Fri,Theft and Related Offences,Shirley East,1,2021,1
10,Fri,Theft and Related Offences,Spreydon,2,2020,10
1,Fri,Theft and Related Offences,Sumner,1,2020,9
9,Thu,Theft and Related Offences,Wharenui,1,2021,8
7,Thu,Theft and Related Offences,Linwood East,2,2021,8
9,Thu,Theft and Related Offences,Linwood East,2,2021,8
15,Tue,Theft and Related Offences,Spreydon,1,2021,8
8,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Ensors,1,2020,9
8,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Clarkville,1,2020,9
0,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Harewood,1,2020,10
0,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Tuahiwi,1,2020,10
10,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikuku,1,2020,10
3,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2021,8
18,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Woolston South,1,2021,7
16,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2021,8
18,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn,1,2021,5
7,Mon,Theft and Related Offences,Northcote,1,2021,8
15,Mon,Theft and Related Offences,Hagley Park,2,2021,7
16,Mon,Theft and Related Offences,Hagley Park,2,2021,8
0,Mon,Theft and Related Offences,Cathedral Square,1,2021,6
12,Tue,Theft and Related Offences,Hagley Park,1,2021,8
17,Tue,Theft and Related Offences,Sumner,1,2021,8
18,Tue,Theft and Related Offences,Cathedral Square,1,2021,8
18,Tue,Theft and Related Offences,Ensors,1,2021,8
7,Fri,Theft and Related Offences,Tinwald,1,2021,5
7,Fri,Theft and Related Offences,Watlington,1,2021,5
12,Fri,Theft and Related Offences,Cathedral Square,1,2021,6
12,Fri,Theft and Related Offences,Timaru Gardens,1,2021,6
18,Fri,Theft and Related Offences,Kaiapoi South,1,2021,6
12,Fri,Theft and Related Offences,Sydenham,1,2021,6
13,Fri,Theft and Related Offences,Belfast,1,2021,6
13,Fri,Theft and Related Offences,Oaklands East,1,2021,6
14,Fri,Theft and Related Offences,Hagley Park,1,2021,6
17,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Spreydon,1,2021,6
1,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Middleton,1,2021,8
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",West Melton,1,2021,8
5,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Cashmere West,1,2021,8
13,Tue,Acts Intended to Cause Injury,Avonside,1,2020,12
10,Tue,Acts Intended to Cause Injury,Jellie Park,1,2021,1
1,Tue,Acts Intended to Cause Injury,Trents-Ladbrooks,1,2021,1
18,Wed,Acts Intended to Cause Injury,Upper Riccarton,1,2020,9
0,Fri,Theft and Related Offences,Travis,1,2020,10
1,Fri,Theft and Related Offences,Belfast South,1,2020,10
11,Fri,Theft and Related Offences,Broomfield,1,2020,10
12,Fri,Theft and Related Offences,Leeston,1,2020,10
20,Fri,Acts Intended to Cause Injury,Bishopdale North,1,2021,1
20,Fri,Acts Intended to Cause Injury,Ensors,1,2021,1
20,Fri,Acts Intended to Cause Injury,New Brighton,1,2021,1
21,Fri,Acts Intended to Cause Injury,Richmond South,1,2021,1
17,Fri,Acts Intended to Cause Injury,Waimairi Beach,1,2021,4
18,Fri,Acts Intended to Cause Injury,Hornby South,1,2021,4
23,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,4
9,Fri,Acts Intended to Cause Injury,Paparua,1,2021,4
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,2,2021,7
23,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Levels,1,2021,7
0,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2021,6
0,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2021,7
0,Mon,Theft and Related Offences,Riccarton South,1,2021,6
10,Mon,Theft and Related Offences,Addington,1,2021,6
10,Mon,Theft and Related Offences,Bromley,1,2021,6
11,Mon,Theft and Related Offences,Cashmere West,1,2021,6
2,Fri,Theft and Related Offences,New Brighton,1,2021,6
22,Fri,Theft and Related Offences,Avondale,1,2021,6
22,Fri,Theft and Related Offences,Islington,1,2021,6
22,Fri,Theft and Related Offences,Watlington,1,2021,6
15,Fri,Theft and Related Offences,Belfast,1,2021,6
15,Fri,Theft and Related Offences,Bromley,1,2021,6
15,Fri,Theft and Related Offences,Pleasant Point,1,2021,6
16,Fri,Theft and Related Offences,Riccarton,1,2021,6
17,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Wigram,1,2021,6
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimairi Beach,1,2021,6
3,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Bryndwr,1,2021,7
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Redwood North,1,2021,7
20,Wed,Acts Intended to Cause Injury,Springston,1,2020,9
13,Wed,Acts Intended to Cause Injury,Twizel Community,1,2020,10
17,Wed,Acts Intended to Cause Injury,Kaiapoi South,1,2020,10
9,Wed,Acts Intended to Cause Injury,Ensors,1,2020,10
12,Wed,Acts Intended to Cause Injury,Hinds,1,2020,12
14,Fri,Theft and Related Offences,Woolston West,1,2020,10
22,Fri,Theft and Related Offences,Jellie Park,1,2020,10
3,Fri,Theft and Related Offences,Bishopdale North,1,2020,10
8,Fri,Theft and Related Offences,Rawhiti,1,2020,10
4,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,1
13,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
15,Fri,Acts Intended to Cause Injury,Linwood,1,2020,10
19,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
13,Sun,"Robbery, Extortion and Related Offences",Hornby South,1,2020,9
3,Sun,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,12
22,Sun,"Robbery, Extortion and Related Offences",Riccarton,1,2020,12
10,Sun,"Robbery, Extortion and Related Offences",Sockburn,1,2020,12
1,Sat,"Robbery, Extortion and Related Offences",Hornby North,1,2021,4
12,Sat,"Robbery, Extortion and Related Offences",Halswell Domain,1,2021,4
17,Sat,"Robbery, Extortion and Related Offences",Harewood,1,2021,7
17,Sat,"Robbery, Extortion and Related Offences",Addington,1,2021,8
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2020,11
9,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Prebbleton,1,2020,11
1,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Ferrymead,1,2020,12
10,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Tuahiwi,1,2020,12
23,Sat,Acts Intended to Cause Injury,Avon Loop,3,2020,10
1,Sun,Acts Intended to Cause Injury,Avon Loop,1,2020,9
10,Sun,Acts Intended to Cause Injury,Paparua,1,2020,9
11,Sun,Acts Intended to Cause Injury,Rakaia,1,2020,9
17,Sat,Theft and Related Offences,Sydenham,1,2021,2
21,Sat,Theft and Related Offences,Papanui,1,2021,2
12,Sat,Theft and Related Offences,Northcote,1,2021,3
18,Sat,Theft and Related Offences,Hagley Park,1,2021,3
10,Fri,Theft and Related Offences,Opawa,1,2020,9
11,Fri,Theft and Related Offences,Aranui,1,2020,9
14,Fri,Theft and Related Offences,Travis Wetland,1,2020,10
10,Fri,Theft and Related Offences,St Albans East,1,2020,11
17,Tue,Theft and Related Offences,Barrington South,1,2021,8
22,Tue,Theft and Related Offences,Hornby North,1,2021,8
16,Tue,Theft and Related Offences,Cashmere West,1,2021,8
5,Tue,Theft and Related Offences,Islington,1,2021,8
12,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Paparua,1,2020,10
13,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Travis Wetland,1,2020,10
14,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Linwood,1,2020,10
15,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora East,1,2020,10
12,Fri,Acts Intended to Cause Injury,Cathedral Square,1,2021,5
12,Fri,Acts Intended to Cause Injury,Seaview,1,2021,5
14,Fri,Acts Intended to Cause Injury,Rangiora Central,1,2021,5
16,Fri,Acts Intended to Cause Injury,Bishopdale,1,2021,5
19,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Hagley Park,1,2021,8
14,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Hornby North,1,2021,6
21,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimate,1,2021,6
23,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Russley,1,2021,6
11,Mon,Theft and Related Offences,Hoon Hay,1,2021,6
11,Mon,Theft and Related Offences,Rawhiti,1,2021,6
11,Mon,Theft and Related Offences,Sydenham,1,2021,6
12,Mon,Theft and Related Offences,Addington,1,2021,6
0,Fri,Theft and Related Offences,Aorangi,1,2021,7
1,Fri,Theft and Related Offences,Ensors,1,2021,7
15,Fri,Theft and Related Offences,Mackenzie,1,2021,7
18,Fri,Theft and Related Offences,Cathedral Square,1,2021,7
17,Fri,Theft and Related Offences,Yaldhurst,1,2021,6
17,Fri,Theft and Related Offences,Seaview,1,2021,6
17,Fri,Theft and Related Offences,Kaiapoi South,1,2021,6
18,Fri,Theft and Related Offences,Strowan,1,2021,6
16,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Glenwood,1,2020,10
17,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimairi Beach,1,2020,10
18,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Richmond North,1,2020,10
18,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Woodend,1,2020,10
0,Fri,Theft and Related Offences,Bromley,1,2020,11
11,Fri,Theft and Related Offences,Wharenui,1,2020,11
15,Fri,Theft and Related Offences,Jellie Park,1,2020,11
15,Fri,Theft and Related Offences,Westburn,1,2020,11
16,Fri,Acts Intended to Cause Injury,Avondale,1,2020,11
12,Fri,Acts Intended to Cause Injury,Avonside,1,2020,12
12,Fri,Acts Intended to Cause Injury,Bromley,1,2021,1
13,Fri,Acts Intended to Cause Injury,Travis,1,2021,1
14,Sun,"Robbery, Extortion and Related Offences",Sydenham,1,2021,1
16,Sun,"Robbery, Extortion and Related Offences",Cathedral Square,2,2020,11
21,Thu,"Robbery, Extortion and Related Offences",Rutland,1,2020,9
10,Thu,"Robbery, Extortion and Related Offences",Shirley East,1,2020,11
22,Sat,"Robbery, Extortion and Related Offences",Cathedral Square,1,2021,6
0,Sat,"Robbery, Extortion and Related Offences",New Brighton,1,2021,7
8,Sat,"Robbery, Extortion and Related Offences",Linwood East,1,2021,4
19,Sat,"Robbery, Extortion and Related Offences",Papanui,2,2021,3
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2020,12
0,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Sockburn,1,2021,1
3,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Mt Somers,1,2021,1
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Fairton,1,2021,1
12,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
12,Sun,Acts Intended to Cause Injury,Rawhiti,1,2020,9
12,Sun,Acts Intended to Cause Injury,Upper Riccarton,1,2020,9
16,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
13,Sat,Theft and Related Offences,Northcote,1,2021,5
1,Sun,Theft and Related Offences,Cathedral Square,1,2021,2
11,Sun,Theft and Related Offences,Mona Vale,1,2021,2
16,Sun,Theft and Related Offences,Harewood,1,2021,2
15,Fri,Theft and Related Offences,Kaikoura Township,1,2020,12
19,Mon,Theft and Related Offences,Sydenham,1,2020,9
23,Mon,Theft and Related Offences,Clarkville,1,2020,9
3,Mon,Theft and Related Offences,Timaru Gardens,1,2020,9
3,Mon,Theft and Related Offences,Cashmere East,1,2020,9
22,Tue,Theft and Related Offences,Cathedral Square,1,2021,8
17,Tue,Theft and Related Offences,Pines-Kairaki Beach,2,2021,8
10,Tue,Theft and Related Offences,Cathedral Square,1,2021,8
10,Tue,Theft and Related Offences,Rangiora East,1,2021,8
11,Tue,Theft and Related Offences,Waimataitai,1,2021,8
18,Fri,Theft and Related Offences,Sefton,1,2021,7
22,Fri,Theft and Related Offences,Washdyke,1,2021,7
2,Fri,Theft and Related Offences,Shirley East,1,2021,8
11,Fri,Theft and Related Offences,Highfield,1,2021,5
14,Fri,Theft and Related Offences,Pegasus,1,2021,5
18,Fri,Theft and Related Offences,Yaldhurst,1,2021,6
19,Fri,Theft and Related Offences,Avonhead West,1,2021,6
19,Fri,Theft and Related Offences,Barrington North,1,2021,6
19,Fri,Theft and Related Offences,Bishopdale North,1,2021,6
12,Tue,Theft and Related Offences,Tinwald,1,2021,8
12,Tue,Theft and Related Offences,Opawa,1,2021,8
12,Tue,Theft and Related Offences,Mackenzie,1,2021,8
12,Tue,Theft and Related Offences,Southbrook,1,2021,8
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Aidanfield,1,2020,10
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",St Albans West,1,2020,10
2,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Shirley West,1,2020,10
20,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Leithfield,1,2020,10
19,Fri,Theft and Related Offences,Rutland,1,2020,11
20,Fri,Theft and Related Offences,Allenton East,1,2020,11
20,Fri,Theft and Related Offences,Rolleston South East,1,2020,11
20,Fri,Theft and Related Offences,Kaiapoi North West,1,2020,11
9,Fri,Theft and Related Offences,St Albans East,1,2020,11
5,Fri,Acts Intended to Cause Injury,Linwood North,1,2021,1
13,Fri,Acts Intended to Cause Injury,Riccarton,1,2020,10
23,Fri,Acts Intended to Cause Injury,Westburn,1,2020,10
11,Fri,Acts Intended to Cause Injury,Burwood,1,2020,9
20,Thu,"Robbery, Extortion and Related Offences",Linwood,1,2020,11
11,Thu,"Robbery, Extortion and Related Offences",Hagley Park,1,2020,12
7,Thu,"Robbery, Extortion and Related Offences",Linwood,1,2020,10
18,Thu,"Robbery, Extortion and Related Offences",South Brighton,1,2020,10
22,Sun,"Robbery, Extortion and Related Offences",Sockburn,1,2021,6
6,Sun,"Robbery, Extortion and Related Offences",Cathedral Square,1,2021,5
21,Sun,"Robbery, Extortion and Related Offences",Mona Vale,2,2021,5
10,Thu,"Robbery, Extortion and Related Offences",Rutland,1,2021,6
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2021,1
5,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Hurunui,1,2021,1
8,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Waimataitai,1,2021,1
0,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Selwyn-Rakaia,1,2020,10
2,Sun,Acts Intended to Cause Injury,Merivale,1,2020,9
21,Sun,Acts Intended to Cause Injury,Methven,1,2020,9
3,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2020,9
0,Sun,Acts Intended to Cause Injury,Cathedral Square,1,2020,10
16,Sun,Theft and Related Offences,Riccarton,1,2021,2
16,Sun,Theft and Related Offences,Winchester,1,2021,2
12,Sun,Theft and Related Offences,Northcote,1,2021,3
0,Sun,Theft and Related Offences,Cathedral Square,1,2021,4
4,Mon,Theft and Related Offences,Islington,1,2020,10
8,Mon,Theft and Related Offences,St Albans East,1,2020,10
18,Mon,Theft and Related Offences,Hornby North,1,2020,11
22,Mon,Theft and Related Offences,Cashmere West,1,2020,11
16,Fri,Acts Intended to Cause Injury,Halswell South,1,2021,5
17,Fri,Acts Intended to Cause Injury,Travis Wetland,1,2021,5
20,Fri,Acts Intended to Cause Injury,Hillmorton,1,2021,5
22,Fri,Acts Intended to Cause Injury,Phillipstown,1,2021,5
3,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Bromley,1,2021,6
4,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2021,6
9,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Southbrook,1,2021,6
16,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Waihao,1,2021,7
2,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Rangiora East,1,2021,7
12,Mon,Theft and Related Offences,Linwood,1,2021,6
12,Mon,Theft and Related Offences,Upper Riccarton,1,2021,6
12,Mon,Theft and Related Offences,Kaikoura Township,1,2021,6
13,Mon,Theft and Related Offences,Belfast,1,2021,6
13,Thu,"Robbery, Extortion and Related Offences",Lincoln,1,2021,5
19,Thu,"Robbery, Extortion and Related Offences",Ensors,1,2021,8
22,Thu,"Robbery, Extortion and Related Offences",Waimairi Beach,1,2021,5
14,Thu,"Robbery, Extortion and Related Offences",Ashburton Central East,1,2021,8
11,Sun,Acts Intended to Cause Injury,Linwood East,1,2020,10
12,Sun,Acts Intended to Cause Injury,Seaview,1,2020,10
17,Sun,Acts Intended to Cause Injury,Parkside,1,2020,10
18,Sun,Acts Intended to Cause Injury,Edgeware,1,2020,10
20,Sun,Acts Intended to Cause Injury,Allenton East,1,2020,10
14,Sun,Theft and Related Offences,Upper Riccarton,1,2021,4
15,Sun,Theft and Related Offences,Avon Loop,1,2021,5
19,Sun,Theft and Related Offences,Northcote,1,2021,5
15,Sun,Theft and Related Offences,Halswell Domain,2,2021,3
1,Mon,Theft and Related Offences,Dallington,1,2020,12
17,Mon,Theft and Related Offences,Rutland,1,2020,12
10,Mon,Theft and Related Offences,Yaldhurst,1,2021,1
7,Mon,Theft and Related Offences,Wharenui,1,2021,1
23,Fri,Acts Intended to Cause Injury,Rangiora East,1,2021,5
0,Fri,Acts Intended to Cause Injury,Strowan,1,2021,6
11,Fri,Acts Intended to Cause Injury,Phillipstown,1,2021,6
12,Fri,Acts Intended to Cause Injury,Avonside,1,2021,6
20,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Washdyke,1,2021,7
15,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Prestons,1,2021,8
17,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Waltham,1,2021,8
5,Sun,"Unlawful Entry With Intent/Burglary, Break and Enter",Styx,1,2021,8
18,Fri,Theft and Related Offences,Papanui,1,2021,5
22,Fri,Theft and Related Offences,Southbrook,1,2021,5
7,Fri,Theft and Related Offences,Phillipstown,1,2021,5
8,Fri,Theft and Related Offences,Linwood,1,2021,5
19,Fri,Theft and Related Offences,Prestons,1,2021,6
19,Fri,Theft and Related Offences,Parkside,1,2021,6
20,Fri,Theft and Related Offences,Yaldhurst,1,2021,6
22,Fri,Theft and Related Offences,Addington,1,2021,6
13,Tue,Theft and Related Offences,Belfast,1,2021,8
13,Tue,Theft and Related Offences,Bishopdale North,1,2021,8
13,Tue,Theft and Related Offences,Linwood,1,2021,8
13,Tue,Theft and Related Offences,Sockburn,1,2021,8
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Islington,1,2020,10
4,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Addington,1,2020,10
6,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Lincoln,1,2020,10
9,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",Temuka,1,2020,10
13,Fri,Theft and Related Offences,Middleton,1,2020,12
15,Fri,Theft and Related Offences,Riccarton West,1,2020,12
3,Fri,Theft and Related Offences,Casebrook,1,2020,12
3,Fri,Theft and Related Offences,North Beach,1,2020,12
23,Fri,Acts Intended to Cause Injury,Seaview,1,2020,9
7,Fri,Acts Intended to Cause Injury,Upper Riccarton,1,2020,9
1,Fri,Acts Intended to Cause Injury,Seaview,1,2020,10
20,Fri,Acts Intended to Cause Injury,Upper Riccarton,1,2020,10
10,Thu,"Robbery, Extortion and Related Offences",Yaldhurst,1,2020,12
19,Tue,"Robbery, Extortion and Related Offences",Mairehau North,1,2020,9
12,Tue,"Robbery, Extortion and Related Offences",Cathedral Square,1,2020,12
20,Wed,"Robbery, Extortion and Related Offences",Shirley West,1,2020,9
13,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Prestons,1,2020,10
2,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Sydenham,1,2020,10
4,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Cathedral Square,1,2020,10
9,Sat,"Unlawful Entry With Intent/Burglary, Break and Enter",Temuka,1,2020,10
13,Mon,Theft and Related Offences,Hornby North,1,2021,6
13,Mon,Theft and Related Offences,Mona Vale,1,2021,6
13,Mon,Theft and Related Offences,Prestons,1,2021,6
13,Mon,Theft and Related Offences,Taitapu,1,2021,6
22,Thu,"Robbery, Extortion and Related Offences",Phillipstown,2,2021,5
7,Tue,"Robbery, Extortion and Related Offences",Hagley Park,1,2021,4
19,Tue,"Robbery, Extortion and Related Offences",Barrington North,1,2021,5
